Date,Account Name,Number,Description,Notes,Memo,Category,Type,Action,Reconcile,To With Sym,From With Sym,To Num.,From Num.,To Rate/Price,From Rate/Price
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"-C$6,609.90",,"-6,609.90",,1.00,
2012-10-30,Accounts Receivable,3,WSX,,WSX,Checking Account,T,Payment,Y,"-C$6,610.13",,"-6,610.13",,,
,,,,,,Checking Account,S,Payment,Y,,"C$6,610.13",,"6,610.13",,1.00
,,,,,WSX,Accounts Receivable,S,Payment,Y,"-C$6,610.13",,"-6,610.13",,1.00,
2012-11-05,Accounts Receivable,323,WSX,,,-- Split Transaction --,T,Invoice,Y,"C$8,975.03",,"8,975.03",,,
,,,,,,Accounts Receivable,S,Invoice,Y,"C$8,975.03",,"8,975.03",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,Y,,-C$802.73,,-802.73,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,Y,,-C$402.38,,-402.38,,1.00
,,,,,,REMOVED88,S,Invoice,Y,,"-C$7,769.92",,"-7,769.92",,1.00
2012-11-19,Accounts Receivable,,WSX,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,"-C$8,965.00",,"-8,965.00",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"C$8,965.00",,"8,965.00",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"-C$8,965.00",,"-8,965.00",,1.00,
2012-11-19,Accounts Receivable,,WSX,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,Y,"C$8,965.00",,"8,965.00",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"C$8,965.00",,"8,965.00",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,Y,"-C$8,965.00",,"-8,965.00",,1.00,
2012-11-19,Accounts Receivable,5,WSX,,WSX,Checking Account,T,Payment,Y,"-C$8,965.00",,"-8,965.00",,,
,,,,,,Checking Account,S,Payment,Y,,"C$8,965.00",,"8,965.00",,1.00
,,,,,WSX,Accounts Receivable,S,Payment,Y,"-C$8,965.00",,"-8,965.00",,1.00,
2012-11-26,Accounts Receivable,324,WSX,,,-- Split Transaction --,T,Invoice,Y,"C$11,120.79",,"11,120.79",,,
,,,,,,Accounts Receivable,S,Invoice,Y,"C$11,120.79",,"11,120.79",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,Y,,-C$964.81,,-964.81,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,Y,,-C$483.62,,-483.62,,1.00
,,,,,,REMOVED88,S,Invoice,Y,,"-C$9,672.36",,"-9,672.36",,1.00
2012-12-17,Accounts Receivable,325,WSX,,,-- Split Transaction --,T,Invoice,Y,"C$18,973.18",,"18,973.18",,,
,,,,,,Accounts Receivable,S,Invoice,Y,"C$18,973.18",,"18,973.18",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,Y,,"-C$1,646.08",,"-1,646.08",,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,Y,,-C$825.10,,-825.10,,1.00
,,,,,,REMOVED88,S,Invoice,Y,,"-C$16,502.00",,"-16,502.00",,1.00
2012-12-30,Accounts Receivable,326,WSX,,,-- Split Transaction --,T,Invoice,Y,"C$8,423.07",,"8,423.07",,,
,,,,,,Accounts Receivable,S,Invoice,Y,"C$8,423.07",,"8,423.07",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,Y,,-C$730.77,,-730.77,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,Y,,-C$366.30,,-366.30,,1.00
,,,,,,REMOVED88,S,Invoice,Y,,"-C$7,326.00",,"-7,326.00",,1.00
2013-01-04,Accounts Receivable,,WSX,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,N,"-C$11,120.79",,"-11,120.79",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"C$11,120.79",,"11,120.79",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"-C$11,120.79",,"-11,120.79",,1.00,
2013-01-04,Accounts Receivable,,WSX,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,N,"C$11,120.79",,"11,120.79",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"C$11,120.79",,"11,120.79",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"-C$11,120.79",,"-11,120.79",,1.00,
2013-01-04,Accounts Receivable,1,WSX,,WSX,Checking Account,T,Payment,N,"-C$11,121.00",,"-11,121.00",,,
,,,,,,Checking Account,S,Payment,N,,"C$11,121.00",,"11,121.00",,1.00
,,,,,WSX,Accounts Receivable,S,Payment,N,"-C$11,121.00",,"-11,121.00",,1.00,
2013-01-18,Accounts Receivable,,WSX,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,N,"-C$18,973.00",,"-18,973.00",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"C$18,973.00",,"18,973.00",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"-C$18,973.00",,"-18,973.00",,1.00,
2013-01-18,Accounts Receivable,,WSX,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,N,"C$18,973.00",,"18,973.00",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"C$18,973.00",,"18,973.00",,1.00,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"-C$18,973.00",,"-18,973.00",,1.00,
2013-01-18,Accounts Receivable,7,WSX,,WSX,Checking Account,T,Payment,N,"-C$18,973.00",,"-18,973.00",,,
,,,,,,Checking Account,S,Payment,N,,"C$18,973.00",,"18,973.00",,1.00
,,,,,WSX,Accounts Receivable,S,Payment,N,"-C$18,973.00",,"-18,973.00",,1.00,
2013-01-19,Accounts Receivable,,"Bill payment error missing#323 10.03 with other mismatching payments due to rounded invoices from WSX, transfered as bad debt",,,Bad debts,T,,N,-C$9.77,,-9.77,,,
,,,,,,Bad debts,S,,N,,C$9.77,,9.77,,1.00
