Date,AccountNumber2,Payee3,Notes,Account Name,Total,Expense,TPS,TVQ,Category,CategoryID,Reconciled from
2015-10-02,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6016,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,sync.com
2015-10-02,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6017,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,sync.org
2015-10-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services,6010,Hosting,6.16,6.16,,,Amazon,5add7dd99382de8f166cb7e89b744062,Email Statement apps@il
2015-10-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services,6010,Hosting,15.45,15.45,,,Amazon,5add7dd99382de8f166cb7e89b744062,Email Statement apps@fieldl
2015-10-06,31944d3aedb7a5e7a87c9aa3f8dae825,Koodo,6010,Cell Phone,39.5,32.55,2.32,4.63,Utilities,49bcd9d8957972e606cc9d8465796402,
2015-10-07,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6018,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,lab.ca
2015-10-16,31944d3aedb7a5e7a87c9aa3f8dae825,Telus,6010,Cell Phone,61.59,50.75,3.62,7.22,Utilities,49bcd9d8957972e606cc9d8465796402,
2015-10-17,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6019,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,ces
2015-10-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,6010,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2015-11-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services,6010,Hosting,6.16,6.16,,,Amazon,5add7dd99382de8f166cb7e89b744062,Email Statement apps@il
2015-11-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services,6010,Hosting,15.45,15.45,,,Amazon,5add7dd99382de8f166cb7e89b744062,Email Statement apps@fieldl
2015-11-03,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6020,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,openl
2015-11-06,31944d3aedb7a5e7a87c9aa3f8dae825,Koodo,6010,Cell Phone,39.5,32.55,2.32,4.63,Utilities,49bcd9d8957972e606cc9d8465796402,
2015-11-16,31944d3aedb7a5e7a87c9aa3f8dae825,Telus,6010,Cell Phone,61.59,50.75,3.62,7.22,Utilities,49bcd9d8957972e606cc9d8465796402,
2015-11-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,6010,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2015-12-02,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6021,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,pho
2015-12-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services,6010,Hosting,6.16,6.16,,,Amazon,5add7dd99382de8f166cb7e89b744062,Email Statement apps@il
2015-12-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services,6010,Hosting,15.45,15.45,,,Amazon,5add7dd99382de8f166cb7e89b744062,Email Statement apps@fieldl
2015-12-06,31944d3aedb7a5e7a87c9aa3f8dae825,Koodo,6010,Cell Phone,39.5,32.55,2.32,4.63,Utilities,49bcd9d8957972e606cc9d8465796402,
2015-12-16,31944d3aedb7a5e7a87c9aa3f8dae825,Telus,6010,Cell Phone,61.59,50.75,3.62,7.22,Utilities,49bcd9d8957972e606cc9d8465796402,
2015-12-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,6010,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2016-01-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services,6010,Hosting,2.56,2.56,,,Amazon,5add7dd99382de8f166cb7e89b744062,Email Statement apps@il
2016-01-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services,6010,Hosting,15.45,15.45,,,Amazon,5add7dd99382de8f166cb7e89b744062,Email Statement apps@fieldl
