"Date";"Account Name";"Number";"Description";"Notes";"Memo";"Category";"Type";"Action";"Reconcile";"To With Sym";"From With Sym";"To Num.";"From Num.";"To Rate/Price";"From Rate/Price"
"";"";"";"";"";"";"Office food";"S";"";"N";"";"C$34.32";"";"34.32";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$34.32";"";"-34.32";"";"1.00";""
"2012-03-16";"Cash and Deposit";"";"Telus";"";"";"Cell Phone";"T";"";"N";"-C$213.16";"";"-213.16";"";"";""
"";"";"";"";"";"";"Cell Phone";"S";"";"N";"";"C$213.16";"";"213.16";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$213.16";"";"-213.16";"";"1.00";""
"2012-03-26";"Cash and Deposit";"";"Amtrack Train Ticket";"";"";"Travel";"T";"";"N";"-C$70.00";"";"-70.00";"";"";""
"";"";"";"";"";"";"Travel";"S";"";"N";"";"C$70.00";"";"70.00";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$70.00";"";"-70.00";"";"1.00";""
"2012-03-27";"Cash and Deposit";"";"Mon-Nan";"";"";"Representation";"T";"";"N";"-C$18.00";"";"-18.00";"";"";""
"";"";"";"";"";"";"Representation";"S";"";"N";"";"C$18.00";"";"18.00";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$18.00";"";"-18.00";"";"1.00";""
"2012-03-27";"Cash and Deposit";"";"Cafe Republique";"";"";"Representation";"T";"";"N";"-C$12.54";"";"-12.54";"";"";""
"";"";"";"";"";"";"Representation";"S";"";"N";"";"C$12.54";"";"12.54";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$12.54";"";"-12.54";"";"1.00";""
"2012-03-28";"Cash and Deposit";"";"PMT Employee1 (Transfert)";"";"";"Employee1 Employee1";"T";"";"N";"-C$1,313.20";"";"-1,313.20";"";"";""
"";"";"";"";"";"";"Employee1 Employee1";"S";"";"N";"";"C$1,313.20";"";"1,313.20";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$1,313.20";"";"-1,313.20";"";"1.00";""
"2012-03-29";"Cash and Deposit";"";"La Legende Patisserie";"";"";"Representation";"T";"";"N";"-C$20.00";"";"-20.00";"";"";""
"";"";"";"";"";"";"Representation";"S";"";"N";"";"C$20.00";"";"20.00";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$20.00";"";"-20.00";"";"1.00";""
"2012-03-31";"Cash and Deposit";"";"Bank Charge";"";"";"Bank Service Charge";"T";"";"N";"-C$4.95";"";"-4.95";"";"";""
"";"";"";"";"";"";"Bank Service Charge";"S";"";"N";"";"C$4.95";"";"4.95";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$4.95";"";"-4.95";"";"1.00";""
"2012-04-02";"Cash and Deposit";"";"Gestion Immobiliere Quo Vadis";"";"";"Rent";"T";"";"N";"-C$2,069.55";"";"-2,069.55";"";"";""
"";"";"";"";"";"";"Rent";"S";"";"N";"";"C$2,069.55";"";"2,069.55";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$2,069.55";"";"-2,069.55";"";"1.00";""
"2012-04-02";"Cash and Deposit";"";"L2 Lounge";"";"";"Representation";"T";"";"N";"-C$7.09";"";"-7.09";"";"";""
"";"";"";"";"";"";"Representation";"S";"";"N";"";"C$7.09";"";"7.09";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$7.09";"";"-7.09";"";"1.00";""
"2012-04-02";"Cash and Deposit";"";"PMT Taxes Fed Mars";"";"";"Payroll Tax Fed";"T";"";"N";"-C$104.99";"";"-104.99";"";"";""
"";"";"";"";"";"";"Payroll Tax Fed";"S";"";"N";"";"C$104.99";"";"104.99";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$104.99";"";"-104.99";"";"1.00";""
"2012-04-02";"Cash and Deposit";"";"PMT Taxes Qc Mars";"";"";"Payroll Tax Qc";"T";"";"N";"-C$225.64";"";"-225.64";"";"";""
"";"";"";"";"";"";"Payroll Tax Qc";"S";"";"N";"";"C$225.64";"";"225.64";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$225.64";"";"-225.64";"";"1.00";""
"2012-04-03";"Cash and Deposit";"";"TPS et TVQ ensemble";"";"";"First TPS/TVQ together";"T";"";"N";"-C$473.29";"";"-473.29";"";"";""
"";"";"";"";"";"";"First TPS/TVQ together";"S";"";"N";"";"C$473.29";"";"473.29";"";"1.00"
